zip_code,Median,Mean,Pop
12482,42289.2,64095.414,743
12483,50209.1901,61036.6455,332
12484,81391.1138,97782.4933,2773
12485,35286,43167,780
12486,54844,70223,1663
12487,66903.1516,83707.3391,3246
12489,52789.0362,61608.1951,586
12490,56336,72364,95
12491,66124.7045,83057.2584,1715
12492,42656,58063,281
12493,67303,84728,498
12494,53553,82596,817
12495,60089,90820,272
12496,43233,53489,1618
12498,60921.1081,86526.5604,5020
12501,46315.9604,70448.6351,2234
12502,63827.5446,88555.3737,1055
12503,59844,85130,734
12504,61250,78492,961
12507,61250,78492,226
12508,59869.9453,64963.148,19504
12512,70000,92060,166
12513,52857,78372,732
12514,77190.0553,101915.2313,2791
12515,57001.268,69516.944,1381
12516,68886.3005,104991.2115,1690
12517,68929,105085,421
12518,75279.845,94154.9198,5882
12520,83232.67,100218.2774,3193
12521,63481.7848,93115.0622,1516
12522,60821.3744,74118.0238,5244
12523,55006.0214,71717.2445,1665
12524,69062.2056,78091.3846,11904
12525,79215.8762,94264.3288,3018
12526,56051.9859,76084.0043,3597
12527,65583,72945,163
12528,61291.189,77796.6581,12373
12529,54579.1109,92371.9679,2649
12530,52857,78372,162
12531,94978.5377,107908.5863,3411
12533,95652.6481,112998.9606,22335
12534,43949.592,61726.0233,18812
12538,68602.497,81616.3524,14063
12540,89945.8062,106911.9623,7009
12542,63863.5513,78158.6447,5468
12543,67081.9416,69662.5133,3131
12545,62675.7852,95788.0173,4724
12546,57568.7491,70155.1284,3005
12547,63343.847,77674.556,2776
12548,55703.4002,67273.2852,1492
12549,74229.7831,83233.8484,8981
12550,55352.454,68517.3404,52212
12553,72766.5272,82683.0553,22087
12561,63332.5152,82856.4214,16872
12563,82870.1785,96540.6555,7639
12564,74941.4472,101434.2197,6365
12565,52857,78372,1585
12566,77388.2319,85040.0149,10103
12567,60962.0236,74748.6199,2844
12569,87411.5298,100171.8414,9396
12570,88126.9841,101334.4071,6362
12571,72020.0069,88011.3595,11549
12572,67658.5015,95402.4317,9390
12574,62917,85640,196
12575,89613.7229,96766.189,2171
12577,83153.2297,94583.6059,2342
12578,85523.3737,99917.0999,2241
12580,73532.1958,96701.1982,4058
12581,67131.5086,86297.5994,2361
12582,94916.0613,115812.1451,4049
12583,64982.3703,81869.0112,2304
12585,82278,99885,774
12586,65018.6471,74133.0149,11348
12589,72920.6275,82497.3264,13881
12590,77749.174,87929.5372,33400
12592,45834.3692,70624.232,1286
12594,69057.5189,77504.8141,4047
12601,47532.9475,60335.0029,42242
12603,79125.1077,90409.6264,40048
12604,78448,80617,542
12701,33984.8491,47487.6489,11376
12719,51121.5784,68520.5596,1076
12720,55659.1947,66198.1693,214
12721,63712.1334,75558.4274,5779
12722,58125,69905,179
12723,54345.6167,66459.2546,1893
12724,52182,55567,264
12725,29960.4448,37847.4404,170
12726,57405.2587,67130.1123,1183
12729,47321.0588,61870.9956,1949
12732,51415.5328,69092.0632,817
12733,47338.7983,56544.3968,1023
12734,40169.9907,52758.8944,840
12736,59650,68640,150
12737,48011,62473,1471
12738,54997.568,68203.2608,345
12740,7836.2492,9621.9628,302
12741,59650,68640,304
12742,40440.0552,53078.2888,209
12743,51428.176,69116.644,370
12745,53498.172,65435.5015,156
12746,47337.0945,64656.3265,930
12747,45286.3377,53715.6873,1727
12748,53102.9208,60491.5531,2154
12749,43952,48555,394
12750,53598,66184,199
12751,40625,51938,458
12752,57917,67388,177
12754,34528.9031,54670.7341,6715
12758,49840.0394,62266.7463,4142
12759,39992.4996,48027.3726,1751
12760,46657.1496,58885.8616,543
12762,48411.3776,55283.3712,435
12763,47838.0825,60014.9366,872
12764,56077.1624,66721.616,1664
12766,52323.1452,55814.0797,477
12767,59650,68640,101
12768,31233.133,45179.6372,911
12769,59519,73118,275
12770,48011,62473,274
12771,49523.4706,65522.5935,13856
12775,61901,76836,1538
12776,50437.9833,60893.8917,2166
12777,61666.8888,76562.3344,772
12778,55638,66187,694
12779,48039.4567,55968.0866,1889
12780,45682.2092,57257.4127,2255
12781,59519,73118,309
12783,48571.0551,56786.2455,1901
12784,61901,76836,58
